Condition	Onset	Duration
Baseline	0	10
GNT	10	0.7
Baseline	10.7	5.3
GNT	16	0.7
Baseline	16.7	3.3
NT	20	0.7
Baseline	20.7	3.3
GNT	24	0.7
Baseline	24.7	5.3
GT	30	0.7
Baseline	30.7	3.3
GT	34	0.7
Baseline	34.7	5.3
C2_5GT	40	0.7
Baseline	40.7	3.3
GNT	44	0.7
Baseline	44.7	3.3
NT	48	0.7
Baseline	48.7	7.3
GT	56	0.7
Baseline	56.7	5.3
GNT	62	0.7
Baseline	62.7	3.3
GNT	66	0.7
Baseline	66.7	3.3
GNT	70	0.7
Baseline	70.7	7.3
C2_5GT	78	0.7
Baseline	78.7	3.3
C2_5GT	82	0.7
Baseline	82.7	7.3
GNT	90	0.7
Baseline	90.7	3.3
GT	94	0.7
Baseline	94.7	5.3
GNT	100	0.7
Baseline	100.7	5.3
C2_5GT	106	0.7
Baseline	106.7	7.3
NT	114	0.7
Baseline	114.7	3.3
NT	118	0.7
Baseline	118.7	3.3
GT	122	0.7
Baseline	122.7	7.3
C2_5GT	130	0.7
Baseline	130.7	5.3
GNT	136	0.7
Baseline	136.7	5.3
GT	142	0.7
Baseline	142.7	7.3
NT	150	0.7
Baseline	150.7	5.3
C2_5GT	156	0.7
Baseline	156.7	3.3
GT	160	0.7
Baseline	160.7	3.3
GNT	164	0.7
Baseline	164.7	3.3
C2_5GT	168	0.7
Baseline	168.7	5.3
C2_5GT	174	0.7
Baseline	174.7	3.3
GT	178	0.7
Baseline	178.7	7.3
NT	186	0.7
Baseline	186.7	3.3
NT	190	0.7
Baseline	190.7	3.3
NT	194	0.7
Baseline	194.7	3.3
NT	198	0.7
Baseline	198.7	7.3
C2_5GT	206	0.7
Baseline	206.7	3.3
NT	210	0.7
Baseline	210.7	5.3
C2_5GT	216	0.7
Baseline	216.7	3.3
GT	220	0.7
Baseline	220.7	3.3
GNT	224	0.7
Baseline	224.7	5.3
NT	230	0.7
Baseline	230.7	7.3
C2_5GT	238	0.7
Baseline	238.7	3.3
NT	242	0.7
Baseline	242.7	3.3
GNT	246	0.7
Baseline	246.7	5.3
GNT	252	0.7
Baseline	252.7	5.3
GT	258	0.7
Baseline	258.7	5.3
GT	264	0.7
Baseline	264.7	5.3
NT	270	0.7
Baseline	270.7	5.3
GT	276	0.7
Baseline	276.7	3.3
GT	280	0.7
Baseline	280.7	5.3
GT	286	0.7
Baseline	286.7	3.3
GNT	290	0.7
Baseline	290.7	7.3
NT	298	0.7
Baseline	298.7	3.3
C2_5GT	302	0.7
Baseline	302.7	7.3
NT	310	0.7
Baseline	310.7	3.3
C2_5GT	314	0.7
Baseline	314.7	3.3
GT	318	0.7
Baseline	318.7	3.3
GNT	322	0.7
Baseline	322.7	3.3
GT	326	0.7
Baseline	326.7	3.3
C2_5GT	330	0.7
Baseline	330.7	7.3
C2_5GT	338	0.7
Baseline	338.7	5.3
C2_5GT	344	0.7
Baseline	344.7	3.3
NT	348	0.7
Baseline	348.7	5.3
