Condition	Onset	Duration
Baseline	0	4
GNT	10	2
Baseline	12	4
GNT	16	2
Baseline	18	4
NT	20	2
Baseline	22	4
GNT	24	2
Baseline	26	4
GT	30	2
Baseline	32	4
GT	34	2
Baseline	36	4
C2_5GT	40	2
Baseline	42	4
GNT	44	2
Baseline	46	4
NT	48	2
Baseline	50	4
GT	56	2
Baseline	58	4
GNT	62	2
Baseline	64	4
GNT	66	2
Baseline	68	4
GNT	70	2
Baseline	72	4
C2_5GT	78	2
Baseline	80	4
C2_5GT	82	2
Baseline	84	4
GNT	90	2
Baseline	92	4
GT	94	2
Baseline	96	4
GNT	100	2
Baseline	102	4
C2_5GT	106	2
Baseline	108	4
NT	114	2
Baseline	116	4
NT	118	2
Baseline	120	4
GT	122	2
Baseline	124	4
C2_5GT	130	2
Baseline	132	4
GNT	136	2
Baseline	138	4
GT	142	2
Baseline	144	4
NT	150	2
Baseline	152	4
C2_5GT	156	2
Baseline	158	4
GT	160	2
Baseline	162	4
GNT	164	2
Baseline	166	4
C2_5GT	168	2
Baseline	170	4
C2_5GT	174	2
Baseline	176	4
GT	178	2
Baseline	180	4
NT	186	2
Baseline	188	4
NT	190	2
Baseline	192	4
NT	194	2
Baseline	196	4
NT	198	2
Baseline	200	4
C2_5GT	206	2
Baseline	208	4
NT	210	2
Baseline	212	4
C2_5GT	216	2
Baseline	218	4
GT	220	2
Baseline	222	4
GNT	224	2
Baseline	226	4
NT	230	2
Baseline	232	4
C2_5GT	238	2
Baseline	240	4
NT	242	2
Baseline	244	4
GNT	246	2
Baseline	248	4
GNT	252	2
Baseline	254	4
GT	258	2
Baseline	260	4
GT	264	2
Baseline	266	4
NT	270	2
Baseline	272	4
GT	276	2
Baseline	278	4
GT	280	2
Baseline	282	4
GT	286	2
Baseline	288	4
GNT	290	2
Baseline	292	4
NT	298	2
Baseline	300	4
C2_5GT	302	2
Baseline	304	4
NT	310	2
Baseline	312	4
C2_5GT	314	2
Baseline	316	4
GT	318	2
Baseline	320	4
GNT	322	2
Baseline	324	4
GT	326	2
Baseline	328	4
C2_5GT	330	2
Baseline	332	4
C2_5GT	338	2
Baseline	340	4
C2_5GT	344	2
Baseline	346	4
NT	348	2
Baseline	350	4
