Condition	Onset	Duration
Baseline	0	2
GT	10	2
Baseline	12	2
GNT	16	2
Baseline	18	2
GT	22	2
Baseline	24	2
GT	28	2
Baseline	30	2
C2_5GT	32	2
Baseline	34	2
GT	38	2
Baseline	40	2
GT	42	2
Baseline	44	2
NT	46	2
Baseline	48	2
NT	54	2
Baseline	56	2
GNT	58	2
Baseline	60	2
NT	64	2
Baseline	66	2
C2_5GT	70	2
Baseline	72	2
C2_5GT	74	2
Baseline	76	2
GNT	82	2
Baseline	84	2
GNT	88	2
Baseline	90	2
GT	92	2
Baseline	94	2
C2_5GT	96	2
Baseline	98	2
GNT	100	2
Baseline	102	2
GT	108	2
Baseline	110	2
GT	112	2
Baseline	114	2
GNT	116	2
Baseline	118	2
C2_5GT	120	2
Baseline	122	2
GNT	124	2
Baseline	126	2
C2_5GT	128	2
Baseline	130	2
C2_5GT	136	2
Baseline	138	2
C2_5GT	140	2
Baseline	142	2
NT	146	2
Baseline	148	2
NT	152	2
Baseline	154	2
GT	156	2
Baseline	158	2
NT	164	2
Baseline	166	2
NT	168	2
Baseline	170	2
C2_5GT	172	2
Baseline	174	2
GNT	178	2
Baseline	180	2
NT	186	2
Baseline	188	2
NT	194	2
Baseline	196	2
GT	200	2
Baseline	202	2
GNT	204	2
Baseline	206	2
C2_5GT	212	2
Baseline	214	2
GNT	216	2
Baseline	218	2
GT	222	2
Baseline	224	2
GT	228	2
Baseline	230	2
GT	234	2
Baseline	236	2
GT	238	2
Baseline	240	2
C2_5GT	242	2
Baseline	244	2
NT	250	2
Baseline	252	2
GNT	256	2
Baseline	258	2
GNT	264	2
Baseline	266	2
GT	272	2
Baseline	274	2
GNT	276	2
Baseline	278	2
GNT	282	2
Baseline	284	2
C2_5GT	286	2
Baseline	288	2
C2_5GT	290	2
Baseline	292	2
GT	294	2
Baseline	296	2
NT	300	2
Baseline	302	2
NT	306	2
Baseline	308	2
NT	310	2
Baseline	312	2
NT	314	2
Baseline	316	2
NT	322	2
Baseline	324	2
GNT	326	2
Baseline	328	2
C2_5GT	330	2
Baseline	332	2
GNT	336	2
Baseline	338	2
C2_5GT	340	2
Baseline	342	2
NT	344	2
Baseline	346	2
C2_5GT	350	2
Baseline	352	2
