Condition	Onset	Duration
Baseline_G	0	4
GNT_G	10	2
Baseline_G	12	4
NT_G	16	2
Baseline_G	18	4
GT_G	22	2
Baseline_G	24	4
GNT_G	28	2
Baseline_G	30	4
GT_G	32	2
Baseline_G	34	4
GNT_G	36	2
Baseline_G	38	4
GT_G	44	2
Baseline_G	46	4
C2_5GT_G	50	2
Baseline_G	52	4
NT_G	54	2
Baseline_G	56	4
GT_G	60	2
Baseline_G	62	4
GNT_G	64	2
Baseline_G	66	4
GNT_G	70	2
Baseline_G	72	4
GT_G	74	2
Baseline_G	76	4
GT_G	78	2
Baseline_G	80	4
NT_G	82	2
Baseline_G	84	4
C2_5GT_G	90	2
Baseline_G	92	4
C2_5GT_G	96	2
Baseline_G	98	4
C2_5GT_G	102	2
Baseline_G	104	4
C2_5GT_G	106	2
Baseline_G	108	4
C2_5GT_G	110	2
Baseline_G	112	4
GT_G	116	2
Baseline_G	118	4
GNT_G	120	2
Baseline_G	122	4
GNT_G	126	2
Baseline_G	128	4
GNT_G	130	2
Baseline_G	132	4
NT_G	134	2
Baseline_G	136	4
GNT_G	138	2
Baseline_G	140	4
C2_5GT_G	146	2
Baseline_G	148	4
NT_G	154	2
Baseline_G	156	4
C2_5GT_G	160	2
Baseline_G	162	4
GT_G	164	2
Baseline_G	166	4
GNT_G	168	2
Baseline_G	170	4
C2_5GT_G	172	2
Baseline_G	174	4
NT_G	178	2
Baseline_G	180	4
NT_G	186	2
Baseline_G	188	4
C2_5GT_G	192	2
Baseline_G	194	4
C2_5GT_G	196	2
Baseline_G	198	4
NT_G	204	2
Baseline_G	206	4
GT_G	208	2
Baseline_G	210	4
NT_G	212	2
Baseline_G	214	4
GT_G	220	2
Baseline_G	222	4
GT_G	224	2
Baseline_G	226	4
GNT_G	228	2
Baseline_G	230	4
NT_G	234	2
Baseline_G	236	4
NT_G	238	2
Baseline_G	240	4
GNT_G	242	2
Baseline_G	244	4
NT_G	246	2
Baseline_G	248	4
C2_5GT_G	250	2
Baseline_G	252	4
GT_G	254	2
Baseline_G	256	4
NT_G	260	2
Baseline_G	262	4
GT_G	264	2
Baseline_G	266	4
GNT_G	272	2
Baseline_G	274	4
NT_G	276	2
Baseline_G	278	4
GNT_G	284	2
Baseline_G	286	4
C2_5GT_G	290	2
Baseline_G	292	4
NT_G	296	2
Baseline_G	298	4
C2_5GT_G	300	2
Baseline_G	302	4
GNT_G	304	2
Baseline_G	306	4
C2_5GT_G	308	2
Baseline_G	310	4
GNT_G	312	2
Baseline_G	314	4
NT_G	320	2
Baseline_G	322	4
C2_5GT_G	328	2
Baseline_G	330	4
GT_G	334	2
Baseline_G	336	4
GT_G	342	2
Baseline_G	344	4
GT_G	348	2
Baseline_G	350	4
