Condition	Onset	Duration
Baseline_G	0	6
GT_G	10	2
Baseline_G	12	6
GT_G	14	2
Baseline_G	16	6
NT_G	18	2
Baseline_G	20	6
C2_5GT_G	24	2
Baseline_G	26	6
GT_G	32	2
Baseline_G	34	6
GT_G	36	2
Baseline_G	38	6
GNT_G	40	2
Baseline_G	42	6
GNT_G	46	2
Baseline_G	48	6
NT_G	50	2
Baseline_G	52	6
GNT_G	54	2
Baseline_G	56	6
NT_G	58	2
Baseline_G	60	6
GNT_G	64	2
Baseline_G	66	6
NT_G	70	2
Baseline_G	72	6
GT_G	74	2
Baseline_G	76	6
NT_G	82	2
Baseline_G	84	6
C2_5GT_G	88	2
Baseline_G	90	6
GNT_G	96	2
Baseline_G	98	6
GNT_G	100	2
Baseline_G	102	6
GNT_G	104	2
Baseline_G	106	6
C2_5GT_G	110	2
Baseline_G	112	6
GT_G	116	2
Baseline_G	118	6
C2_5GT_G	122	2
Baseline_G	124	6
NT_G	126	2
Baseline_G	128	6
C2_5GT_G	132	2
Baseline_G	134	6
NT_G	138	2
Baseline_G	140	6
NT_G	144	2
Baseline_G	146	6
GNT_G	148	2
Baseline_G	150	6
NT_G	152	2
Baseline_G	154	6
NT_G	158	2
Baseline_G	160	6
GNT_G	162	2
Baseline_G	164	6
C2_5GT_G	166	2
Baseline_G	168	6
GNT_G	170	2
Baseline_G	172	6
NT_G	174	2
Baseline_G	176	6
C2_5GT_G	180	2
Baseline_G	182	6
GT_G	186	2
Baseline_G	188	6
GNT_G	192	2
Baseline_G	194	6
GNT_G	198	2
Baseline_G	200	6
C2_5GT_G	202	2
Baseline_G	204	6
GT_G	206	2
Baseline_G	208	6
NT_G	210	2
Baseline_G	212	6
C2_5GT_G	218	2
Baseline_G	220	6
GT_G	224	2
Baseline_G	226	6
GT_G	228	2
Baseline_G	230	6
GT_G	236	2
Baseline_G	238	6
GNT_G	240	2
Baseline_G	242	6
GT_G	244	2
Baseline_G	246	6
NT_G	252	2
Baseline_G	254	6
C2_5GT_G	256	2
Baseline_G	258	6
GNT_G	260	2
Baseline_G	262	6
C2_5GT_G	264	2
Baseline_G	266	6
C2_5GT_G	268	2
Baseline_G	270	6
C2_5GT_G	272	2
Baseline_G	274	6
GT_G	280	2
Baseline_G	282	6
GT_G	288	2
Baseline_G	290	6
GT_G	292	2
Baseline_G	294	6
GNT_G	296	2
Baseline_G	298	6
C2_5GT_G	304	2
Baseline_G	306	6
C2_5GT_G	308	2
Baseline_G	310	6
GNT_G	316	2
Baseline_G	318	6
NT_G	322	2
Baseline_G	324	6
NT_G	328	2
Baseline_G	330	6
C2_5GT_G	336	2
Baseline_G	338	6
NT_G	342	2
Baseline_G	344	6
GT_G	346	2
Baseline_G	348	6
